id,事務所id,名前,本名,別名,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,配偶者,親族,弟子,公式サイト,YouTube,
1,44,あぁ?しらき,白木千春（しらき ちはる・旧姓),,1976/11/21,,福岡県,O型,157 cm,,,サンドウィッチマン,,2010/10/1,,あり（2011年）,,,https://grapecom.jp/talent_writer/aashiraki/,https://www.youtube.com/user/UC2NSOy0Qbm8DDOFhX_LiHGg,
2,108,R藤本,藤本 博史,王子、ベジータ、Rさん、藤本さん,1981/3/16,,福岡県久留米市,A型,168cm,,関西大学中退,,インディーズ,2006/1/1,,未婚,,,https://ameblo.jp/rfujimoto/,https://www.youtube.com/user/rfujimotochannel,
3,88,アイアム野田,野田 祐介,,1977/7/12,,愛知県名古屋市守山区,B型,168cm,,愛知県立守山高等学校,,スクールJCA7期（野田・おおかわら） スクールJCA8期（和田）,2007/8/1,,,,,http://www.pjinriki.com/talent/onigashima/,,
4,160,あいきけんた,相木 健太（あいき けんた）,羽生ゆずれない（2017年  2019年）,1995/2/25,,北海道苫小牧市,B型,179cm,共通語,明治大学政治経済学部,,,2016/1/1,,未婚,,,http://zazenpro.com/aigi.html,,
5,104,アイクぬわら,アイク・ヌワラ,アイク、ぬわちゃん、アイちゃん、アレックス・ジャクソン,1986/6/5,,アメリカ合衆国・ニューヨーク州マンハッタン区,B型,180 cm,関西弁,ワシントン州私立工科大学卒業,,超新塾のオーディション（ワタナベコメディスクール13期生と同期）,2011/1/1,,,,,https://www.watanabepro.co.jp/mypage/40000018/,https://www.youtube.com/channel/UC5Mjg7BzY896fGkDoLsejQ,
6,146,あいすけ,青木 愛,,1987/4/23,,神奈川県平塚市,B型,163cm,共通語,神奈川大学人間科学部卒業,,NSC東京校14期,2009/1/1,,未婚,,,https://web.archive.org/web/20100916210653/http://aisuke.laff.jp/blog/,,
7,96,相田周二,,しゅーじまん,1983/5/2,,東京都荒川区町屋,B型,173 ㎝,標準語,成城大学経済学部経営学科,,スクールJCA13期,2005/1/1,,,,,,https://www.youtube.com/channel/UCfAHNM0hCGtWj7xaOVfs0dA,
8,85,愛奴人形姫子,,永遠の 3歳児,,,（称・オモイヤリ星の首都みみず千匹国）,,,,,,,,,既婚,,姫奴人形愛子,http://himeko.gozaru.jp/,,
9,95,アイドル鳥越,,,,,,,,,,,東京アナウンス学院,2015/1/1,,,,,,,
10,108,アイパー滝沢,滝沢 敦史（たきざわ あつし）,,1974/9/18,,埼玉県児玉郡美里町,B型,168cm,,埼玉県立児玉農工高等学校 （現・埼玉県立児玉白楊高等学校）中退,,NSC東京校9期,2005/1/1,,,,,,,
11,108,あいはら雅一,會原 雅一（あいはら まさかず）,パラ パラちゃん パラさん,1969/9/6,,大阪府岸和田市,A型,172cm,大阪弁,大阪府立泉鳥取高等学校,,NSC大阪校10期,1991/1/1,,既婚,,,,,
12,104,青木さやか,,,1973/3/27,,愛知県瀬戸市,,165cm,共通語,名古屋学院大学外国語学部中国語学科,林家らぶ平,名古屋タレントビューロー,1996/1/1,,独身（離婚歴あり）,娘,,,,
13,53,青木竜也,,,,,,,,,,,専門学校東京アナウンス学院芸能バラエティ科,2004/1/1,2012/1/1,,,,https://web.archive.org/web/20091118174518/http://www.sunmusic.org/profile/ampere.html,,
14,96,青木泰寛,,,,,,,,,,,,2003/1/1,2018/1/1,,,,,,
15,145,青芝フック,小島 斌(あきら),,1938/3/12,,大阪府大阪市,,,関西弁,,,,1971/1/1,1996/1/1,,,,http://www.wakopro.co.jp/,,
16,999,青空球児,,,1943/10/2,,,,,,,,,,,,,,http://aozorakouji.com,,
17,999,青空好児,,,1943/10/2,,,,,,,,,,,,,,http://aozorakouji.com,,
18,146,青野圭馬,,,,,,,,,,,NSC大阪校33期,,,,,,,,
19,999,青野敏行,,,1960/3/5,,,B型,175 cm,,,,,,,あり,,,,,
20,108,青山フォール勝ち,,,1986/1/19,,島根県松江市,B型,178cm,,東洋大学法学部,,NSC東京校14期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3451,https://www.youtube.com/channel/UCDmgvtV_dFjdFmIcJYabLg,
21,999,赤江謙一,同じ,,1977/5/30,,東京都新宿区,AB型,178cm,,,Wエース,,1996/1/1,,,,,,,
22,95,赤岡典明,,,,,,,,,,,,1996/3/1,2008/6/2,,,,http://com.horipro.co.jp/profile/38shimada.html,,
23,999,明石寿々栄,鈴木（すずき） 登代子（とよこ）,,1932/8/24,2013/8/13,東京都中央区,,,,,5代目柳家小さん 5代目鈴々舎馬風,,,,,,,,,
24,999,明石家さんま,杉本 高文（すぎもと たかふみ）,さんまちゃん さんちゃん お笑い怪獣 若笑福亭さんま（旧名）,1955/7/1,,奈良県奈良市,B型,172 cm,関西弁,奈良県立奈良商業高等学校 （現・奈良県立奈良朱雀高等学校）,2代目笑福亭松之助,,1974/1/1,,大竹しのぶ（1988年1992年）,IMALU（実娘）,,,,
25,999,あかつ,赤津 大輔（あかつ だいすけ）,AK2,1981/5/22,,福島県いわき市,A型,165cm,福島弁,仙台大学卒業,,NSC東京校10期,2005/1/1,,既婚,川畑雅秀（義兄）,,http://konjo.jp/talent/akatsu/,,
26,108,赤羽健一,,,,,,,,,,,NSC東京校9期,2016/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6115,,
27,53,赤羽奈々瀬,,,,,,,,,,,ワタナベコメディスクール1期（赤羽） ワタナベコメディスクール2期（菰岡） 専門学校東京アナウンス学院芸能バラエティ科,2007/2/14,2010/9/9,,,,http://pksp.jp/madchen/,,
28,107,赤PMAN,加藤 孝之（かとう たかゆき),赤ピーマン、ピーマン加藤,1970/9/7,,京都府,A型,173 cm,標準語、関西弁 中国 韓国の方が日本語を話す時のカタコトな話し方,,ビートたけし,,1994/1/1,,既婚,,,https://tap1.jp/akap/,,
29,128,赤プル,松丘 夕子 （旧姓 草間）,,1977/9/26,,茨城県常総市,B型（RH）,158cm,共通語、茨城弁,茨城県立水海道第二高等学校,,,,,松丘慎吾（2011年）,,,https://ameblo.jp/akaiplutonium/,,
30,108,赤嶺総理,赤嶺 栞,,1991/3/1,,沖縄県那覇市,O型,154cm,,沖縄県立首里高等学校（琉球大学法文学部人間科学科 中退）,,NSC東京校19期,2014/1/1,,,,,,,
31,108,アキ ,荒木 良明（あらき よしあき）,,1969/8/22,,大阪府岸和田市,A型,174 cm,関西弁,奈良県立榛原高等学校,,,1992/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=236,https://www.youtube.com/channel/UCQNsvJpVb3IWTAkTEm_QxsA,
32,999,秋田久美子,中條久美子,秋田久美子,1975/7/31,,,B型,,,,,,,,中條健一（2010年）,,,,,
33,108,秋本智仁,,,,,,,,,,,NSC東京校5期,2000/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=421,,
34,108,秋山賢太,,,1983/6/24,,,A型,170cm,,兵庫県立猪名川高等学校,,NSC大阪校25期（秋山） NSC大阪校26期（山名）,2012/10/15,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3475,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA,
35,104,秋山寛貴,,,,,,,,,,,ワタナベコメディスクール12期,2010/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000074/,https://www.youtube.com/channel/UCTA3AFI43NQ5Y9e9pzLZ2Q,
36,96,秋山良人,,,,,,,,,,,東京アナウンス学院芸能バラエティ科,2004/1/1,,,,,https://www.maseki.co.jp/talent/akigen,,
37,108,秋山竜次,,,1978/8/15,,福岡県北九州市門司区,B型,175 cm,北九州弁・共通語,福岡県立門司北高等学校,,NSC東京校4期,1998/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=52,,
38,59,アキラ100%,大橋 彰（おおはし あきら）,アキパー,1974/8/15,,埼玉県秩父市,A型,170 cm,,駿河台大学法学部卒業,,,2005/1/1,,一般人女性（2015年）,,,https://www.sma.co.jp/s/sma/artist/416?ima=0000#/news/0,,
39,108,アゲノ勘太,上野 倖平,アゲノ、勘太、あげかん,1998/12/28,,神奈川県横浜市,O型,,標準語,,,NSC東京校23期,2018/1/1,,,,,,https://www.youtube.com/channel/UCxVK0WY9IvnsGr3eu_Ak1Q,
40,999,あご勇,鵜沢 勇,アゴ勇 アゴイサム,1957/8/14,,,,,,,,,,,,,,,,
41,999,浅香あき恵,佐藤 秋恵（さとう あきえ） （旧姓：首藤）,,1956/10/23,,,O型,,,,,,,,Wヤング 佐藤武志,,,,,
42,108,浅越ゴエ,浅越 浩志（あさごえ ひろし）,,1973/12/20,,岡山県岡山市南区,B型,178cm,関西弁,立命館大学法学部卒業,,NSC大阪校16期,1996/1/1,,既婚,,,,,
43,999,浅田好未,,,1979/8/26,,神奈川県鎌倉市,O型,156cm,,,,,,,,,,https://ameblo.jp/affectionparty/,,
44,29,アジアンビューティー ,,,1987/11/22,,千葉県船橋市,O型,153cm,,,,,2007/1/1,,,,,http://www.n2tokyo.co.jp/woman_shousai/view.php?kubun=&kensaku_mode=search&key=1&page=0&shouhin=2037&image_mode=image_link,,
45,104,芦沢ムネト,,,,,,,,,,,,2003/1/1,2009/1/1,,,,https://sites.google.com/site/wearepapcorn/,,
46,104,あしべ,関根 祐太,あしべ,1989/1/28,,神奈川県,A型,164cm,共通語,,,,2010/1/1,,独身,,,https://www.watanabepro.co.jp/mypage/40000090/,,
47,144,東京太,,,,,,,,,,,,,,,,,,,
48,999,東京平,,,,,,,,,,東京二・京太,,1972/1/1,2021/1/1,,,,http://kyoumarukyouhei.web.fc2.com/,,
49,999,東けんじ,大谷 健二（おおたに けんじ）,,1923/12/17,1999/1/7,栃木県宇都宮市,,,,,,,,,,,,,,
50,111,東貴博,飛田 貴博（ひだ たかひろ）,アズマックス・万札王子,1969/12/31,,東京都台東区,O型,173 cm,共通語,駒澤大学,萩本欽一,欽塾,1988/1/1,,安めぐみ,東八郎（実父） 東朋宏（実弟）,,,,
