名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
〆さばアタル,,,,,,,,,,ビートたけし,,1990/1/1,2008/1/1,,,266,66
〆さばヒカル,,,,,,,,,,ビートたけし,,1999/1/1,,,,267,67
☆ぴょんぴょん☆,,,1987/10/10,,静岡県,O型,,,,,,2008/1/1,,,,,47
1、2の大心,大城 大心（おおしろ たいしん）,,1983/11/3,,沖縄県糸満市,A型,,,,,,2015/1/1,2019/4/14,http://uruma.ap.teacup.com/taishin/,,403,3
4000年に一度咲く金指,金指 悠,,1985/8/27,,埼玉県浦和市,AB型,160cm,,明治大学,,,2016/1/14,,https://www.rising-up.jp/4000nen,,,24
AMEMIYA,雨宮 陽平（あめみや ようへい）,,1978/11/10,,千葉県佐倉市,AB型,175 cm,標準語,千葉県立幕張総合高等学校,,NSC東京校3期,2004/1/1,2019/1/1,https://www.sma.co.jp/s/sma/artist/175?ima=0000#/news/0,,121,21
BBゴロー,川野 勝 （かわの まさる）,,1972/1/9,,静岡県御殿場市,O型,175cm,,静岡県立裾野高等学校卒業,,,2017/1/1,,http://www.bb56.jp/,https://www.youtube.com/channel/UCsGNmV-8WbDK74ZI5P0mB3A,6,6
BJ FOX,,,1981/8/19,,イングランド,,189cm,,ダラム大学,,,2017/1/1,,https://www.okomedyaki.com/,,,99
Bro.TOM,,,,,アメリカ合衆国 ハワイ州マウイ島,,188 cm,,,,,1986/1/1,,http://brotom.net,,,76
DJ chan森 TOKYO,森 雄一,,,,,,,,,,,2002/4/1,2008/12/31,,,,27
GO (お笑い芸人),,,,,,,,,,,NSC東京校5期（江波戸）,2004/1/1,,http://asaikikaku.co.jp/talent/profile/otenki,,384,84
GO!ヒロミ44',古手川 利公,,1968/1/5,,広島県,,,,日本文理大学中退,,,1996/1/1,,,,298,98
GO!皆川,皆川 安弘（みなかわ やすひろ）,ブリュ河,1982/3/1,,茨城県,B型,171cm,共通語,茨城キリスト教大学卒業,,NSC東京校10期,2018/1/1,,,,97,97
Gたかし,直井 崇（なおい たかし）,,1978/9/30,,茨城県筑西市,O型,171cm,,和光大学芸術学科中退,,,2013/1/1,,https://www.sunmusic-gp.co.jp/talent/g_takashi/,,85,85
HEY!たくちゃん,藤谷 拓廊（ふじや たくろう）,,1981/7/2,,北海道小樽市,O型,173 cm,共通語,聖学院大学,,ワタナベコメディスクール1期,1986/1/1,1990/1/1,http://www.kdashstage.jp/profile/archives/9,,,50
HIRO (お笑い芸人),廣瀬 康幸,HIROくん,1977/4/20,,和歌山県和歌山市,O型,177cm,関西弁,和歌山市立西脇中学校,,和歌山県和歌山市,2017/1/1,,,,336,36
Jaaたけや,岸本 武也（きしもと たけや）,,1981/4/22,,愛知県豊田市,B型,171cm,,静岡大学農学部,,,2018/1/12,2010/1/1,,,262,62
