id,office_id,name,numberofpeople,gender,alias,active,activeend,master,oldname,brain,encounter,named,memo,official,twitter,youtube,tiktok
1,108,アームストロング ,2,11,test,2000/1/1 0:00,2014/1/1 0:00,test,シベリアンハスキー,両者,幼稚園時代,test,test,https://web.archive.org/web/20080210043729/http://armstrong.laff.jp/blog/,test,test,test
2,108,アイスクリーム ,2,11,,2005/1/1 0:00,2010/1/1 0:00,,勝山梶（ - 2009年12月） ホワイトブルー（勝山） アメリカバイソン（梶）,,,,,https://web.archive.org/web/20160304225822/http://talent.yahoo.co.jp/talent/g08-0208.html,,,
3,128,アイデンティティ ,2,11,,2004/1/1 0:00,,,,田島 直弥,,,,https://www.ohtapro.co.jp/talent/identity.html,,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q,https://www.tiktok.com/@identity5917
4,999,アイナラット,2,11,,2020/1/1 0:00,,,,当麻,NSC,,,https://www.m-1gp.com/combi/12512.html,,,
5,108,アイロンヘッド,2,11,,2007/1/1 0:00,,,,両者,京都産業大学の学生寮,,,https://profile.yoshimoto.co.jp/talent/detail?id=5069,,https://www.youtube.com/channel/UCWbL_7uDRd2Z-XjTFBuyLww,
6,108,アインシュタイン,2,11,,2010/1/1 0:00,,,河井山名（河井） バンパイア（稲田） ゴリラーズ,両者 （稲田が大筋を考え、河井が添削）,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3262,,https://www.youtube.com/channel/UCOQbu_y-fT-_ZvzCsz1r-kw,https://www.tiktok.com/@einstein_official0
7,145,青芝金太・紋太,2,11,,1978/1/1 0:00,1983/1/1 0:00,青芝フック,,,,,,,,,
8,145,青芝フック・キック,2,11,,1971/1/1 0:00,1996/1/1 0:00,,,,,,,https://web.archive.org/web/20210615220100/https://wakopro.co.jp/talent/%E9%9D%92%E8%8A%9D%E3%83%95%E3%83%83%E3%82%AF/,,,
9,999,青空一風・千風,2,11,,2012/1/1 0:00,,青空一歩・三歩 9代目林家正蔵,中村千葉,両者,,,,http://p-hit.net/wp-admin/install.php,,,
10,999,青空一歩・三歩,2,11,,1978/1/1 0:00,,青空千夜・一夜,,,,,,http://www.manzaikyokai.org/entertainer/ippo-sanpo/,,,
11,139,青空球児・好児,2,11,,1965/1/1 0:00,,,,,,,,http://www.manzaikyokai.org/entertainer/kyuji-koji/,,,
12,999,青空千夜・一夜,2,11,,1954/1/1 0:00,1991/1/1 0:00,コロムビア・トップ・ライト （青空一門）,,,歌謡ショーの司会,,,http://www.manzaikyokai.org/entertainer/senya-ichiya/,,,
13,999,青空東児・西児,2,11,,,,コロムビア・トップ・ライト,,,,,,http://owarai-hensachi.net/385.html,,,
14,104,あかいらか,2,11,,2009/4/1 0:00,2013/10/1 0:00,,,,,,,,,,
15,44,あがすけ,2,11,,2012/1/1 0:00,,,,吉村和彬,山形県立山形南高等学校 ・ラグビー部,,,https://web.archive.org/web/20210519202639/https://grapecom.jp/talent_writer/agasuke/,,,
16,117,暁照雄・光雄,2,11,,1987/1/1 0:00,2015/5/1 0:00,東洋軒雷右衛門,暁照夫・光夫,,,,,,,,
17,999,あかぼし☆こぼし,2,11,,2002/1/1 0:00,2011/1/1 0:00,,,,,,,,,,
18,96,赤もみじ,2,11,,2016/1/1 0:00,,,うぇるきん、パスタ（阪田） アンティーク、クイーン（村田）,両者,ハイスクールマンザイ,,,https://www.maseki.co.jp/talent/akamomiji,,https://www.youtube.com/channel/UCH2ofOerPOP2b-dCKD_QmLw,
19,999,アキカン,2,11,,2004/1/1 0:00,,,,,,,,,,,
20,96,あきげん,2,11,,2004/1/1 0:00,,,,,東京アナウンス学院,,,https://www.maseki.co.jp/talent/akigen,,,
21,999,秋田一号・二号,2,11,,,1970/1/1 0:00,,,,,,,,,,
22,999,秋田Aスケ・Bスケ,2,11,,1946/1/1 0:00,,秋田實,,,,,,http://wahha-kamigata.jp/%E7%A7%8B%E7%94%B0a%E3%82%B9%E3%82%B1%EF%BD%82%E3%82%B9%E3%82%B1/,,,
23,108,アキナ ,2,11,,2012/1/1 0:00,,,金時（秋山） 河井山名（山名）ソーセージ（両者）,山名文和[1],事務所,,,https://profile.yoshimoto.co.jp/talent/detail?id=3475,,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA,
24,108,秋山右楽・左楽,2,11,,1926/1/1 0:00,,,,,,,,,,,
25,104,アクシャン,2,11,,1995/1/1 0:00,,,,,,,,https://web.archive.org/web/20060822191944/http://www.ntv.co.jp/urinari/election/profile/ac.html,,,
26,117,あくび虫,2,11,,1997/1/1 0:00,2003/1/1 0:00,,,,,,,,,,
27,98,アゲイン ,2,11,,2013/1/1 0:00,,,,両者,,,,https://www.rising-up.jp/again,,https://www.youtube.com/channel/UCmmbKX14BGhw_yDp5zONSTA,
28,999,あご&きんぞう,2,11,,1980/1/1 0:00,1984/1/1 0:00,,,,,,,,,,
29,999,浅草キッド,2,11,,1987/1/1 0:00,,ビートたけし,,水道橋博士,ビートたけしの追っかけ,,,https://www.asakusakid.com/,,,
30,85,朝倉小松崎,2,11,,2007/1/1 0:00,2011/1/1 0:00,,,小松崎和也,インターネット上での相方募集の呼びかけ,,,https://kaleidoline.jp/geinin-meikan/01a/break_up/asakura_komatsuzaki.htm,,,
31,108,あさり・かつお,2,11,,1992/1/1 0:00,2006/1/1 0:00,桂三枝（現・六代桂文枝）(あさり) オール阪神(かつお),立花あさり・土佐かつお,,,,,,,,
32,138,あさりど,2,11,,1994/1/1 0:00,,,,,欽ちゃん劇団1期生,,,http://www.hagimoto-kikaku.co.jp/asarido/,,,
33,108,アジアントール,2,11,,2004/1/1 0:00,2019/6/1 0:00,,,,,,,https://www.m-1gp.com/combi/1469.html,,,
34,108,足軽エンペラー,2,11,,1999/1/1 0:00,2003/1/1 0:00,,,山里亮太,,,,,,,
35,999,東京二・京太,2,11,,,1985/1/1 0:00,Wけんじ（東京二）、松鶴家千代若・千代菊（東京太）,西若二・菊二,,,,,,,,
36,999,東京丸・京平,2,11,,1972/1/1 0:00,,東京二・京太,,,,,,http://kyoumarukyouhei.web.fc2.com/,,,
37,999,東ヤジロー・キタハチ,2,11,,1935/1/1 0:00,1953/1/1 0:00,東喜代駒,ゴールデン・バット,,,,,https://tokyomanzai0408.com/archives/783,,,
38,85,遊び屋,2,11,,2003/1/1 0:00,,,ジンギスカン,洋平,中学校の同級生,,,https://web.archive.org/web/20111103085807/http://www.maseki.co.jp/talent/detail?talent_id=39,,https://www.youtube.com/channel/UCms13oKUWALAy_g3ofxGWSA,
39,38,アッチャンズ,2,11,,2008/1/1 0:00,2015/1/1 0:00,ビートたけし,あっちゃん,お互い,,,,https://natalie.mu/owarai/artist/9250,,,
40,108,アッパレード,2,11,,2017/1/1 0:00,2018/1/1 0:00,,シンクロック（木尾） ブレイブマン（吉田）,,,,,https://www.m-1gp.com/combi/6145.html,https://twitter.com/kio1113,,
41,146,アップダウン,2,11,,1996/4/1 0:00,,,,,北海道札幌月寒高等学校,,,https://profile.yoshimoto.co.jp/talent/detail?id=188,,https://www.youtube.com/channel/UCIn1-2UWVGkU6gQiRNoj5bA,
42,58,あどばるーん,2,11,,2002/1/1 0:00,,,シクラメン兄弟・アドバルーン,両者,,,,http://adballoon.info/,,,
43,85,ADVANCE ,2,11,,2013/1/1 0:00,,,,ユウキ・ミズハラ,双子の兄弟,,,https://advanceofficial.wixsite.com/website/profile,,https://www.youtube.com/user/ADVANCElive002,
44,88,アナクロニスティック,2,11,,2014/1/1 0:00,,,,長谷川巧貴,高校、大学の同級生,,,http://www.p-jinriki.com/talent/anacronistic/,,,
45,125,アニマル梯団,2,11,,1991/1/1 0:00,2000/1/1 0:00,,,,関西創価高等学校の同級生,,,,,,
46,123,あばれヌンチャク,2,11,,1999/1/1 0:00,2005/1/1 0:00,,,斎藤恭央,,,,,,,
47,95,アビリティモンキー,2,11,,2008/1/1 0:00,2009/1/1 0:00,,,,,,,,,,
48,117,あひるちゃんスポンジクラブ,2,11,,2005/1/1 0:00,,,もりかずき,,,,,https://www.shochikugeino.co.jp/talents/ahiruchanspongeclub/,,,
49,108,アホマイルド,2,11,,1999/1/1 0:00,2015/1/1 0:00,,,,武相高校,,,,,,
50,95,あま福,2,11,,2015/1/1 0:00,,,,,,,,https://www.m-1gp.com/combi/326.html,,,
51,85,アマレス兄弟,2,11,,2016/1/1 0:00,,,,,,,,https://ameblo.jp/amawresttaro2/,,https://www.youtube.com/channel/UCYHfC15GEDgIZ8a8MDHPVvQ,https://www.tiktok.com/@amawres
52,105,アミ・ボロロク・ホエ・デシェ・ジェテ・チャイ,2,11,,2004/1/1 0:00,2007/1/1 0:00,,,,,,,http://members.jcom.home.ne.jp/zaku25/,,,
53,108,雨上がり決死隊,2,11,,1989/1/1 0:00,2021/8/17 0:00,,ホワイト&ホワイト（蛍原） ぴいぷる（宮迫）,両者,NSC,,,https://natalie.mu/owarai/artist/6820,,,
54,88,アメデオ ,2,11,,1998/1/1 0:00,2004/1/1 0:00,,,,養成所,,,,,,
55,117,アメリカザリガニ ,2,11,,1994/1/1 0:00,,,劇団アメリカザリガニ,両者,中学校時代,,,https://www.shochikugeino.co.jp/talents/01/post-0.html,https://twitter.com/amezari_amezari,https://www.youtube.com/channel/UCyYZaEQytiGq7aeAqFkEZqg,
56,53,アメリカンコミックス ,2,11,,2015/1/1 0:00,2018/1/1 0:00,,しまいにゃショパン（飯島） エイリアンGOGO（飯島） けつばん（鈴木）,,大学のお笑いサークル,,,https://web.archive.org/web/20150525033015/http://www.sunmusic.org/profile/americancomics.html,,,
57,104,あめん,2,11,,2010/2/1 0:00,2015/1/1 0:00,,上木総合研究所（上木） ひょろりんず（佐藤）,,,,,https://ameblo.jp/feefeefee/,,,
58,125,アモーン,2,11,,2004/12/1 0:00,,,,,,,,http://asaikikaku.co.jp/talent/profile/ammon,,https://www.youtube.com/channel/UCG9m7aNPCdlrbJmLv5pk6lA,
59,117,荒波部屋,2,11,,1996/1/1 0:00,2000/1/1 0:00,,,,,,,,,,
