,URL,名前,メンバー,人数,性別,別名,結成年,結成-1-1,解散年,解散-1-1,事務所,活動時期,師匠,出身,影響,出会い,旧コンビ名,旧トリオ名,旧グループ名,現在の活動状況,芸種,ネタ作成者,現在の代表番組,過去の代表番組,同期,公式サイト,受賞歴,YouTube
1,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%88%E3%83%AD%E3%83%B3%E3%82%B0_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アームストロング (お笑いコンビ),栗山直人 安村昇剛,2,11,,2000年,2000/1/1,2014年,2014/1/1,吉本興業,2000年 - 2014年,,NSC東京校6期,,幼稚園時代,シベリアンハスキー,,,解散 （栗山はタレント『くり』、安村はピン芸人『とにかく明るい安村』として活動）,漫才、コント,両者,なし,10カラット おはスタ,マキシマムパーパーサム（解散） ロシアンモンキー（解散） オリオンリーグなど,https://web.archive.org/web/20080210043729/http://armstrong.laff.jp/blog/,2007年 キモチスイッチCMバトル優勝 2010年 NHK新人演芸大賞演芸部門大賞,
2,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アイスクリーム (お笑いコンビ),勝山慎司 梶剛,2,11,,2005年,2005/1/1,2010年,2010/1/1,吉本興業,2005年7月 - 2010年6月19日 2014年10月18日,,NSC大阪校22期（梶） NSC大阪校23期（勝山）,,,勝山梶（ - 2009年12月） ホワイトブルー（勝山） アメリカバイソン（梶）,,,解散（それぞれピンで活動）,漫才,,,"エンタの神様 ""笑""たいむ (2008・2009) 爆笑ピンクカーペット 爆笑レッドカーペット など",友近 ガリガリガリクソン 中川パラダイス（ウーマンラッシュアワー） 吉田裕（勝山） キングコング 南海キャンディーズ スーパーマラドーナ NON STYLE（梶）,,2008年ABCお笑い新人グランプリ新人賞,
3,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アイデンティティ (お笑いコンビ),田島 直弥 見浦 彰彦,2,11,,2004年,2004/1/1,,,太田プロダクション,2005年 -,,専門学校東京アナウンス学院,,,,,,テレビ・ライブ・インターネット,漫才、コント,田島 直弥,,,オリエンタルラジオ トレンディエンジェル 柳原可奈子 酒井健太（アルコ&ピース） せじも（ねじ）など,,太田プロライブ『月笑』2017年度王者 太田プロライブ『月笑』2018年度王者,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q
4,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%8A%E3%83%A9%E3%83%83%E3%83%88,アイナラット,わっしゃる 当麻,2,11,,2020年5月,2020/5/1,,,,,,NSC大阪校43期,,NSC,,,,,漫才、コント,当麻,,,いこい,,,
5,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%AD%E3%83%B3%E3%83%98%E3%83%83%E3%83%89,アイロンヘッド,ナポリ 辻井亮平,2,11,,2007年,2007/1/1,,,吉本興業,2008年 -,,NSC大阪校30期,,京都産業大学の学生寮,,,,テレビ・ライブなど,コント、漫才,両者,,,バンビーノ 令和喜多みな実 尼神インター  THIS IS パンなど,https://profile.yoshimoto.co.jp/talent/detail?id=5069,2013年 第1回 歌ネタ王決定戦 第8位 2014年 平成26年度 NHK新人お笑い大賞大賞[1] 2016年 第37回 ABCお笑いグランプリ 決勝3位 2018年 第6回 歌ネタ王決定戦 3位 2020年 第8回 歌ネタ王決定戦 6位,https://www.youtube.com/channel/UCWbL_7uDRd2Z-XjTFBuyLww
6,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%A5%E3%82%BF%E3%82%A4%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84),アインシュタイン (お笑い),稲田直樹 河井ゆずる,2,11,,2010年,2010/1/1,,,吉本興業東京本部,2010年11月 -,,NSC大阪校26期（河井） NSC大阪校28期（稲田）,,,河井山名（河井） バンパイア（稲田） ゴリラーズ,,,テレビ、ライブなど,漫才、コント,両者 （稲田が大筋を考え、河井が添削）,,,和牛 かまいたち 天竺鼠 藤崎マーケットなど （河井） 祇園 ラフ次元 すゑひろがりず ニュークレープなど （稲田）,,第99回 キタイ花ん 優勝 2011年 オールザッツ漫才 優勝 2014年 オールザッツ漫才 優勝 2016年 第1回上方漫才協会大賞大賞 2018年 第48回NHK上方漫才コンテスト優勝,https://www.youtube.com/channel/UCOQbu_y-fT-_ZvzCsz1r-kw
7,https://ja.wikipedia.org/wiki/%E9%9D%92%E8%8A%9D%E9%87%91%E5%A4%AA%E3%83%BB%E7%B4%8B%E5%A4%AA,青芝金太・紋太,青芝金太 青芝紋太,2,11,,1978年,1978/1/1,1983年,1983/1/1,和光プロダクション,1978年 - 1983年,青芝フック,松竹芸能タレント養成所（金太）,,,,,,解散（モンタは青芝フック・モンタとして活動）,,,,怪人二十面相と少年探偵団 怪人二十面相と少年探偵団Ⅱ,,,1979年 NHK上方漫才コンテスト 優秀敢闘賞 1980年 上方漫才大賞 新人奨励賞 1982年 日本テレビ「お笑いスター誕生!!」10週勝ち抜き8代目グランプリ,
8,https://ja.wikipedia.org/wiki/%E9%9D%92%E8%8A%9D%E3%83%95%E3%83%83%E3%82%AF%E3%83%BB%E3%82%AD%E3%83%83%E3%82%AF,青芝フック・キック,青芝フック 青芝キック,2,11,,1971年,1971/1/1,1996年,1996/1/1,和光プロダクション,1971年 - 1996年,,,,,,,,解散（フックはタレントとして活動）,漫才,,なし,,,http://www.wakopro.co.jp/,,
9,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E4%B8%80%E9%A2%A8%E3%83%BB%E5%8D%83%E9%A2%A8,青空一風・千風,青空一風 青空千風,2,11,,2012年,2012/1/1,,,,,青空一歩・三歩 9代目林家正蔵,,福山雅治 爆笑問題,,中村千葉,,,テレビ・ライブなど,漫才,両者,,,,,,
10,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E4%B8%80%E6%AD%A9%E3%83%BB%E4%B8%89%E6%AD%A9,青空一歩・三歩,青空一歩 青空三歩,2,11,,1978年,1978/1/1,,,,,青空千夜・一夜,,,,,,,,漫才,,,,,,1983年 第31回NHK新人漫才コンクール最優秀賞 1995年 真打昇進,https://www.youtube.com/channel/UCVQj2QrU1V1IUYaInKlw0AA
11,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E7%90%83%E5%85%90%E3%83%BB%E5%A5%BD%E5%85%90,青空球児・好児,青空球児 青空好児,2,11,,1965年,1965/1/1,,,漫才協会,1965年 -,,,,,,,,政治家（青空こうじ）,漫才,,,年忘れ漫才競演 進め!フィンガー5 東西寄席 お笑い球好列車 てんぷく笑劇場 風鈴捕物帳など,,,1973年 第21回NHK新人漫才コンクール優勝 1979年 真打昇進,
12,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E5%8D%83%E5%A4%9C%E3%83%BB%E4%B8%80%E5%A4%9C,青空千夜・一夜,青空 千夜（本名・酒井 義人） 青空 一夜（本名・小板橋 喜八郎）,2,11,,1954年,1954/1/1,1991年（千夜の死去に伴う）,1991/1/1,,1954年 - 1991年,コロムビア・トップ・ライト （青空一門）,,,歌謡ショーの司会,,,,,漫才,,,やじうま寄席,,,第7回NHK漫才コンクール優勝（1959年） 芸術祭優秀賞（1969年）,
13,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E6%9D%B1%E5%85%90%E3%83%BB%E8%A5%BF%E5%85%90,青空東児・西児,青空東児 青空西児,2,11,東のこ・西のこ,,,,,,,コロムビア・トップ・ライト,,,,,,,,漫才,,,,,,,
14,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8B%E3%81%84%E3%82%89%E3%81%8B,あかいらか,長谷川ヨシテル 内田英輔,2,11,,2009年4月,2009/1/14,2013年10月,2013/1/1,ワタナベエンターテインメント,2009年 - 2013年,,ワタナベコメディスクール10期,,,,,,解散 （長谷川はピン、内田はコンビ「バッドナイス」で活動）,漫才,,,,乙、マービンJr.、くりおね、マンテンブラザーズ など,,,
15,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8C%E3%81%99%E3%81%91,あがすけ,タツキ・マイアミ 吉村和彬,2,11,ココ夏三郎（タツキ）,2012年,2012/1/1,,,グレープカンパニー,,,日本 山形県,,山形県立山形南高等学校 ・ラグビー部,,,,ライブ・テレビ等,漫才、肉体芸,吉村和彬,,,,,,
16,https://ja.wikipedia.org/wiki/%E6%9A%81%E7%85%A7%E9%9B%84%E3%83%BB%E5%85%89%E9%9B%84,暁照雄・光雄,暁照雄 暁光雄,2,11,,1987年,1987/1/1,2015年5月,2015/5/1,松竹芸能,1987年 - 2015年,東洋軒雷右衛門,,,,暁照夫・光夫,,,,漫才,,,NHKラジオ上方演芸会,,,,
